Game,Sample_score,Sample_reward,MeanScore,Mean_reward,Record
154100,4,-10.2,5.690460739779364,-8.040503,104
154200,4,-10.4,5.690577172503242,-8.040391,104
154300,1,-9.95,5.690447180816591,-8.040091,104
154400,4,-9.9,5.690103626943005,-8.040056,104
154500,4,-11.0,5.689844660194175,-8.039928,104
154600,4,-10.4,5.690174644243208,-8.039715,104
154700,2,-10.4,5.690420168067227,-8.039529,104
154800,4,-10.95,5.690226098191214,-8.039429,104
154900,14,-8.9,5.690335700451905,-8.039161,104
155000,4,-10.4,5.689967741935484,-8.038564,104
155100,3,-9.9,5.690380399742102,-8.038005,104
155200,2,-10.4,5.6907474226804124,-8.037718,104
155300,3,-10.4,5.69052801030264,-8.0376425,104
155400,3,-10.9,5.69030888030888,-8.0376215,104
155500,4,-10.9,5.689588424437299,-8.037539,104
155600,3,-9.9,5.689254498714653,-8.0377,104
155700,9,-10.4,5.689023763648041,-8.037561,104
155800,4,-9.9,5.689306803594352,-8.03729,104
155900,4,-10.4,5.689589480436177,-8.037009,104
156000,4,-10.4,5.690326923076923,-8.036442,104
156100,3,-10.4,5.690038436899424,-8.036018,104
156200,14,-9.4,5.691389244558259,-8.035866,104
156300,4,-10.95,5.691209213051823,-8.035772,104
156400,4,-11.0,5.691521739130435,-8.0355,104
156500,4,-10.9,5.691635782747603,-8.035289,104
156600,4,-10.7,5.693243933588761,-8.035172,104
156700,2,-10.9,5.693229100191449,-8.0349245,104
156800,4,-10.9,5.692882653061225,-8.034249,104
156900,4,-9.95,5.693295092415552,-8.034022,104
157000,4,-11.4,5.693210191082803,-8.033986,104
157100,4,-10.9,5.6936791852323365,-8.033855,104
157200,4,-10.4,5.6935114503816795,-8.034013,104
157300,4,-10.4,5.693566433566434,-8.033868,104
157400,2,-10.95,5.69356416772554,-8.034008,104
157500,4,-10.4,5.694177777777778,-8.0337,104
157600,14,-8.4,5.694733502538071,-8.033733,104
157700,4,-12.5,5.694514901712112,-8.0335245,104
157800,4,-9.9,5.694613434727503,-8.033231,104
157900,6,-10.4,5.695307156428119,-8.032934,104
158000,4,-10.45,5.695329113924051,-8.032469,104
158100,4,-11.9,5.695433270082226,-8.032552,104
158200,1,-9.95,5.695031605562579,-8.0325575,104
158300,4,-10.4,5.694712571067593,-8.032447,104
158400,2,-10.0,5.695006313131313,-8.032001,104
158500,4,-9.9,5.695305993690852,-8.032032,104
158600,14,-9.4,5.696229508196721,-8.031959,104
158700,4,-10.4,5.6968809073724005,-8.03189,104
158800,4,-10.4,5.696958438287154,-8.03168,104
